time_s,x_m,sinkage_m,drawbar_pull_N,torque_Nm,normal_reaction_N,traction_N
0.006000,-0.130000,0.000184,-0.000102,0.000189,0.091025,-0.000241
0.012000,-0.130000,0.000721,-0.004475,0.000138,0.362765,-0.006039
0.018000,-0.130000,0.001610,-0.013067,0.000403,1.003104,-0.013983
0.024000,-0.130000,0.002850,-0.013558,0.002520,2.268320,-0.013166
0.030000,-0.130000,0.004438,-0.031401,-0.003802,5.016563,-0.038595
0.036000,-0.130000,0.006368,-0.268560,-0.056563,9.124239,-0.381078
0.042000,-0.130000,0.008629,-0.521962,-0.083457,16.438932,-0.415661
0.048000,-0.130000,0.011206,0.201711,0.080535,26.836287,0.404230
0.054000,-0.130000,0.014074,0.177789,0.146404,41.558823,0.121858
0.060000,-0.130000,0.017197,-0.940814,-0.044933,62.045460,-0.855637
0.066000,-0.130000,0.020526,-0.477865,-0.034643,103.259003,-0.643732
0.072000,-0.130000,0.023970,-1.133496,-0.139840,161.651016,-1.087615
0.078000,-0.130000,0.027392,-1.144570,-0.039860,231.036621,-0.900753
0.084000,-0.130000,0.030625,-0.811850,-0.089397,345.799774,-0.896735
0.090000,-0.130000,0.033408,-2.770399,-0.443070,489.559387,-2.603022
0.096000,-0.130000,0.035406,-0.350822,-0.108600,607.955444,-0.175754
0.102000,-0.130000,0.036333,-0.428440,-0.038776,679.194641,-0.899938
0.108000,-0.130000,0.036012,0.279774,-0.019484,609.842224,-0.026896
0.114000,-0.130000,0.034588,-2.259660,-0.516107,324.691498,-2.933419
0.120000,-0.130000,0.032659,-4.711509,-0.895934,76.534035,-4.777207
0.126000,-0.130000,0.030818,-2.563560,-0.455268,1.153495,-2.390375
0.132000,-0.130000,0.029306,-0.362262,-0.069069,-2.944708,-0.291335
0.138000,-0.130000,0.028154,-0.106474,-0.024480,-1.545236,-0.098499
0.144000,-0.130000,0.027359,-0.020562,-0.013584,-0.940445,-0.012087
0.150000,-0.130000,0.026920,0.027288,0.003453,-0.631942,0.044076
0.156000,-0.130000,0.026836,-0.046813,-0.006328,-0.205870,-0.056447
0.162000,-0.130000,0.027105,-0.080880,-0.010251,0.670781,-0.075832
